# materialGroupsV2 -- location x material-class x uncertainty-class
# generated by makeMaterialGroupsV2.py from /work/submit/david_w/ZMass/calibration_studies/resolution/runs/260731_audit/material_audit.txt
# RULE	groupId	groupName	nameRegex	rmin	rmax	zmin	zmax	zside	k_init	prior_sigma
# first matching rule wins; unmatched volumes -> group 0 (other)
RULE	1	beampipe	^BeamTube	-	3.5	-	-	0	0.0	0.02
RULE	2	bpix_active_L1	^PixelBarrel(Active|Sensor|ROChip|TBM)	-	5.9	-	30	0	0.0	0.02
RULE	3	bpix_active_L2	^PixelBarrel(Active|Sensor|ROChip|TBM)	5.9	8.7	-	30	0	0.0	0.02
RULE	4	bpix_active_L3	^PixelBarrel(Active|Sensor|ROChip|TBM)	8.7	-	-	30	0	0.0	0.02
RULE	5	fpix_active_D1	^PixelForwardActive	-	-	-	38	0	0.0	0.02
RULE	6	fpix_active_D2	^PixelForwardActive	-	-	38	-	0	0.0	0.02
RULE	7	tib_active_L1	^TIB(Active|Hybrid)	-	30	-	-	0	0.0	0.02
RULE	8	tib_active_L2	^TIB(Active|Hybrid)	30	38	-	-	0	0.0	0.02
RULE	9	tib_active_L3	^TIB(Active|Hybrid)	38	46	-	-	0	0.0	0.02
RULE	10	tib_active_L4	^TIB(Active|Hybrid)	46	-	-	-	0	0.0	0.02
RULE	11	tid_active_R1	^TIDModule0.*Active	-	-	-	-	0	0.0	0.02
RULE	12	tid_active_R2	^TIDModule1.*Active	-	-	-	-	0	0.0	0.02
RULE	13	tid_active_R3	^TIDModule2.*Active	-	-	-	-	0	0.0	0.02
RULE	14	tob_active_L1	^TOBActive	-	65	-	-	0	0.0	0.02
RULE	15	tob_active_L2	^TOBActive	65	73	-	-	0	0.0	0.02
RULE	16	tob_active_L3	^TOBActive	73	82	-	-	0	0.0	0.02
RULE	17	tob_active_L4	^TOBActive	82	92	-	-	0	0.0	0.02
RULE	18	tob_active_L5	^TOBActive	92	102	-	-	0	0.0	0.02
RULE	19	tob_active_L6	^TOBActive	102	-	-	-	0	0.0	0.02
RULE	20	tec_active_R1	^TECModule0.*Active	-	-	-	-	0	0.0	0.02
RULE	21	tec_active_R2	^TECModule1.*Active	-	-	-	-	0	0.0	0.02
RULE	22	tec_active_R3	^TECModule2.*Active	-	-	-	-	0	0.0	0.02
RULE	23	tec_active_R4	^TECModule3.*Active	-	-	-	-	0	0.0	0.02
RULE	24	tec_active_R5	^TECModule4.*Active	-	-	-	-	0	0.0	0.02
RULE	25	tec_active_R6	^TECModule5.*Active	-	-	-	-	0	0.0	0.02
RULE	26	tec_active_R7	^TECModule6.*Active	-	-	-	-	0	0.0	0.02
RULE	27	bpix_metal	^(PIXPatchpanel1|PIXPatchpanel1b|PIXPatchpanel2|PixelBarrelBaseFull|PixelBarrelBaseHalf|PixelBarrelCable1|PixelBarrelCable1Full|PixelBarrelCable1Half|PixelBarrelCable2|PixelBarrelCable2Full|PixelBarrelCable2Half|PixelBarrelCable3|PixelBarrelCable3Full|PixelBarrelCable3Half|PixelBarrelCable4Full|PixelBarrelCable4Half|PixelBarrelCapacitorHalf|PixelBarrelConn1|PixelBarrelConn2|PixelBarrelConn3|PixelBarrelConn4|PixelBarrelConnToST|PixelBarrelCool1|PixelBarrelCool2|PixelBarrelCool3|PixelBarrelHybridFull|PixelBarrelHybridHalf|PixelBarrelLayer0CoolTube|PixelBarrelLayer1CoolTube|PixelBarrelLayer2CoolTube|PixelBarrelShield1|PixelBarrelShield3)$	-	-	-	-	0	0.0	0.08
RULE	28	tec_composite	^(BHCovers|BHDisk|TECBackDisk|TECBackDiskNomex|TECBeamSupport|TECFrontPlate|TECInnerTube|TECModule0TopFrame|TECModule0TopFrame2|TECModule1TopFrame|TECModule1TopFrame2|TECModule2SideFrameLeft|TECModule2SideFrameRight|TECModule2TopFrame|TECModule3SideFrameLeft|TECModule3SideFrameRight|TECModule3TopFrame|TECModule4TopFrame|TECModule4TopFrame2|TECModule5TopFrame|TECModule6SideFrameLeft|TECModule6SideFrameRight|TECModule6TopFrame|TECOuterSkin|TECPetal0B|TECPetal0F|TECPetal1B|TECPetal1F|TECPetal2B|TECPetal2F|TECPetal3B|TECPetal3F|TECPetal4B|TECPetal4F|TECPetal5B|TECPetal5F|TECPetal6B|TECPetal6F|TECPetal7B|TECPetal7F|TECPetal8B|TECPetal8F|TECPetal9B|TECPetal9F|TECPetalaB|TECPetalaF|TECPetalbB|TECPetalbF|TECRailsA|TECRailsB|TECThermalShield|TECWheelDisk6|TECWheelDiskA|TECWheelDiskB|TECWheelDiskC|TECWheelDiskD|TECWheelNomex6|TECWheelNomexA|TECWheelNomexB|TECWheelNomexC|TECWheelNomexD)$	-	-	-	-	0	0.0	0.2
RULE	29	tracker_composite	^(EILY0|EILY1|EILY2|EILY4|SFFN|TrackerSupportTubeCFSkin1|TrackerSupportTubeCFSkin2|TrackerSupportTubeNomex|TrackerThermalScreenFoam)$	-	-	-	-	0	0.0	0.2
